Status,Move,Partner,Invoice Date,Due Date,Product Category,Product,Product Quantity,Unit Price,Untaxed Amount in Currency,Tax,Total in Currency
Invoiced,INV/D/2026/00313 (S03037),Smile Logo Trading EST ????? ???? ?????? ???????,2026-02-19,2026-04-19,KERR Items,[37217] SimpliShade Bulk Fill Flow Syringe,5.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00309 (S03029),Vital Life Medical Co. ???? ?????? ??????? ?????,2026-02-19,2026-03-21,KERR Items,[37218] SimpliShade Bulk Fill Flow Unidose 20pk,1.00,350.00,350.00,0.00,350.00
Invoiced,INV/D/2026/00313 (S03037),Smile Logo Trading EST ????? ???? ?????? ???????,2026-02-19,2026-04-19,KERR Items,[37217] SimpliShade Bulk Fill Flow Syringe,5.00,169.00,845.00,0.00,845.00
Invoiced,INV/D/2026/00312 (PO: 4600117132),NUPCO NATIONAL UNIFIED PROCUREMENT COMPANY FOR PHARMACEUTICALS AND MEDICAL SUPPLIES,2026-02-19,2026-03-31,KERR Items,[974-0059] Buchanan Hand Plugger - 2,3.00,270.75,812.25,0.00,812.25
Invoiced,INV/D/2026/00313 (S03037),Smile Logo Trading EST ????? ???? ?????? ???????,2026-02-19,2026-04-19,KERR Items,[37211] SimpliShade Bulk Fill Syringe,5.00,169.00,845.00,0.00,845.00
Invoiced,INV/D/2026/00314 (S03035),cash sales,2026-02-19,2026-02-19,IPD / Custom Ti-Base,"[IPD/EB-IR-03/3D] Custom Ti Base Non-Engaging Ø 4,2 GH 1.5 Astra®",1.00,110.00,110.00,0.00,110.00
Invoiced,INV/D/2026/00314 (S03035),cash sales,2026-02-19,2026-02-19,IPD / Titanium Screw,"[IPD/EB-TR-00/TIN] Ti Screw TiN Ø 4,2 Astra®",1.00,55.00,55.00,0.00,55.00
Invoiced,INV/D/2026/00315 (S03038),cash sales,2026-02-19,2026-02-19,KERR Items,[33371] Premise Flowable Assorted Kit,50.00,60.00,"3,000.00",0.00,"3,000.00"
Invoiced,INV/D/2026/00311 (S03034),Al Rawad Service Company (TAM Co) ???? ???? ???????,2026-02-19,2026-03-21,KERR Items,[60256] TEMP BOND NE PKG,2.00,160.00,320.00,0.00,320.00
Invoiced,INV/D/2026/00306 (S03013),Ajwan Al Jamal Medical ???? ????? ?????? ??????,2026-02-19,2026-04-19,Astra Dentsply / Healing Abutment,[68013002] Healing Abutment EV (XS) 3.5mm,4.00,350.00,"1,400.00",0.00,"1,400.00"
Invoiced,INV/D/2026/00306 (S03013),Ajwan Al Jamal Medical ???? ????? ?????? ??????,2026-02-19,2026-04-19,Astra Dentsply / Impression Coping,[68014020] Implant Transfer EV 4.8 S,1.00,220.00,220.00,0.00,220.00
Invoiced,INV/D/2026/00306 (S03013),Ajwan Al Jamal Medical ???? ????? ?????? ??????,2026-02-19,2026-04-19,Astra Dentsply / Healing Abutment,[68013015] Healing Abutment EV (M) 2.5mm,3.00,350.00,"1,050.00",0.00,"1,050.00"
Invoiced,INV/D/2026/00307 (S03030),"Laali Najd Medical Est, LANCO MEDIC ????? ???? ???",2026-02-19,2026-04-19,KERR Items,[34962] TAKE 1 ADVANCED TRAY RS VOLUME EUROPE,3.00,666.00,"1,998.00",0.00,"1,998.00"
Invoiced,INV/D/2026/00307 (S03030),"Laali Najd Medical Est, LANCO MEDIC ????? ???? ???",2026-02-19,2026-04-19,KERR Items,[36713] SonicFill 3 Refill A3,1.00,314.00,314.00,0.00,314.00
Invoiced,INV/D/2026/00313 (S03037),Smile Logo Trading EST ????? ???? ?????? ???????,2026-02-19,2026-04-19,KERR Items,[37211] SimpliShade Bulk Fill Syringe,5.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00313 (S03037),Smile Logo Trading EST ????? ???? ?????? ???????,2026-02-19,2026-04-19,KERR Items,"[952-0004] Fine Buchanan Plugger, .06 Taper",2.00,301.00,602.00,0.00,602.00
Invoiced,INV/D/2026/00314 (S03035),cash sales,2026-02-19,2026-02-19,IPD / Scan abutment,"[IPD/EB-SR-00] Scan abutment Engaging Ø 4,2 H 10.0 Astra®",1.00,150.00,150.00,0.00,150.00
Invoiced,INV/D/2026/00314 (S03035),cash sales,2026-02-19,2026-02-19,IPD / Custom Ti-Base / Abutment,"[IPD/EB-DR-03] Healing abutment Ø 4,2 H 3.5 Astra®",1.00,85.00,85.00,0.00,85.00
Invoiced,INV/D/2026/00307 (S03030),"Laali Najd Medical Est, LANCO MEDIC ????? ???? ???",2026-02-19,2026-04-19,KERR Items,[33351EU] TempBond Clear without Triclosan Automix Syringe,30.00,155.00,"4,650.00",0.00,"4,650.00"
Invoiced,INV/D/2026/00306 (S03013),Ajwan Al Jamal Medical ???? ????? ?????? ??????,2026-02-19,2026-04-19,Astra Dentsply / Analog,[68014037] Implant Replica EV 4.8,5.00,110.00,550.00,0.00,550.00
Invoiced,INV/D/2026/00307 (S03030),"Laali Najd Medical Est, LANCO MEDIC ????? ???? ???",2026-02-19,2026-04-19,KERR Items,[33685] TempBond NE Automix Syringe,10.00,146.00,"1,460.00",0.00,"1,460.00"
Invoiced,INV/D/2026/00307 (S03030),"Laali Najd Medical Est, LANCO MEDIC ????? ???? ???",2026-02-19,2026-04-19,KERR Items,[36711] SonicFill 3 Refill A1,2.00,314.00,628.00,0.00,628.00
Invoiced,INV/D/2026/00307 (S03030),"Laali Najd Medical Est, LANCO MEDIC ????? ???? ???",2026-02-19,2026-04-19,KERR Items,[36712] SonicFill 3 Refill A2,5.00,314.00,"1,570.00",0.00,"1,570.00"
Invoiced,INV/D/2026/00307 (S03030),"Laali Najd Medical Est, LANCO MEDIC ????? ???? ???",2026-02-19,2026-04-19,KERR Items,[34060] Maxcem Elite Refill White Opaque,30.00,291.00,"8,730.00",0.00,"8,730.00"
Invoiced,INV/D/2026/00308 (S02974),Nizar Ibrahim Ghulam and Partners Limited ???? ???? ??????? ????,2026-02-19,2026-04-19,KERR Items,[37217] SimpliShade Bulk Fill Flow Syringe,3.00,260.00,780.00,0.00,780.00
Invoiced,INV/D/2026/00308 (S02974),Nizar Ibrahim Ghulam and Partners Limited ???? ???? ??????? ????,2026-02-19,2026-04-19,KERR Items,[37217] SimpliShade Bulk Fill Flow Syringe,3.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00310 (S03031),Al Nahdi Care limited - ???? ?????? ??? ????????,2026-02-19,2026-03-31,KERR Items,"[37112] OptiShade Universal Composite Syringe, Medium",20.00,130.00,"2,600.00",0.00,"2,600.00"
Invoiced,INV/D/2026/00307 (S03030),"Laali Najd Medical Est, LANCO MEDIC ????? ???? ???",2026-02-19,2026-04-19,KERR Items,[60256] TEMP BOND NE PKG,5.00,99.00,495.00,0.00,495.00
Invoiced,INV/D/2026/00306 (S03013),Ajwan Al Jamal Medical ???? ????? ?????? ??????,2026-02-19,2026-04-19,Astra Dentsply / Abutment,[68012050] TiDesign EV 4.2 Ø5.5-1.5 Tri,5.00,1.00,5.00,0.00,5.00
Invoiced,INV/D/2026/00309 (S03029),Vital Life Medical Co. ???? ?????? ??????? ?????,2026-02-19,2026-03-21,KERR Items,[37212] SimpliShade Bulk Fill Unidose 20pk,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00306 (S03013),Ajwan Al Jamal Medical ???? ????? ?????? ??????,2026-02-19,2026-04-19,Astra Dentsply / Abutment,[68012043] TiDesign EV 4.2 Ø5.5-2.5mm,5.00,350.00,"1,750.00",0.00,"1,750.00"
Invoiced,"INV/D/2026/00299 (PR:35055, PO:13061)",Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-04-18,SARATOGA,[L500 ]MOBILE CABINET L500 ,2.00,"6,100.00","12,200.00","1,830.00","14,030.00"
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Tool,[36718] Implant Driver NP 28 mm,1.00,1.00,1.00,0.00,1.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Tool,[36720] Implant Driver RP 28 mm,1.00,1.00,1.00,0.00,1.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Tool,[36719] Implant Driver NP 37 mm,1.00,1.00,1.00,0.00,1.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Tool,[36721] Implant Driver RP 37 mm,1.00,1.00,1.00,0.00,1.00
Invoiced,INV/D/2026/00303 (S03027),Loft Dental Complex ???? ???? ???? ??? ???????,2026-02-18,2026-03-20,KERR Items,[37217] SimpliShade Bulk Fill Flow Syringe,5.00,255.00,"1,275.00",0.00,"1,275.00"
Invoiced,INV/D/2026/00303 (S03027),Loft Dental Complex ???? ???? ???? ??? ???????,2026-02-18,2026-03-20,KERR Items,[37211] SimpliShade Bulk Fill Syringe,5.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Healing Abutment,[36639] Healing Abutment CC NP Ø3.6x3mm,10.00,1.00,10.00,0.00,10.00
Invoiced,INV/D/2026/00298 (PO# 11162),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-04-18,SARATOGA,[L500 ]MOBILE CABINET L500 ,2.00,"6,724.00","13,448.00","2,017.20","15,465.20"
Invoiced,INV/D/2026/00302 (S02956),Al Rawad Service Company (TAM Co) ???? ???? ???????,2026-02-18,2026-03-20,KERR Items,[2750] Hawe Blue Adapt Sectional Matrix Transparent Kit,1.00,"1,150.00","1,150.00",0.00,"1,150.00"
Invoiced,INV/D/2026/00300 (S02749),Al Nahdi Care limited - ???? ?????? ??? ????????,2026-02-18,2026-03-20,KERR Items,[33648] NX3 Light-Cure Syringe Clear,11.00,118.19,"1,300.09",0.00,"1,300.09"
